subject,strategy,condition,l_length,pres_rate,r1_label,mwr
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,mwr_prim,5.0285714285714285
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,mwr_prim,5.722222222222221
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,mwr_prim,8.833333333333334
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,mwr_prim,3.7625
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,mwr_prim,4.690476190476191
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,mwr_prim,5.611111111111112
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,mwr_prim,7.6499999999999995
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,mwr_prim,7.194444444444444
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,mwr_prim,6.902777777777778
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,mwr_prim,7.492424242424242
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,mwr_prim,4.0
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,mwr_prim,6.9375
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,mwr_prim,6.214285714285714
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,mwr_prim,7.916666666666666
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,mwr_prim,5.896428571428571
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,mwr_prim,5.133333333333333
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,mwr_prim,5.1
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,mwr_prim,5.5555555555555545
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,mwr_prim,4.444444444444444
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,mwr_prim,2.992063492063492
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,mwr_prim,6.040404040404041
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,mwr_prim,6.5
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,mwr_prim,8.972222222222221
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,mwr_prim,6.75
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,mwr_prim,6.402777777777778
A1OW27AZS122X2,ns,20-1,20.0,1000.0,mwr_prim,6.875
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,mwr_prim,9.916666666666666
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,mwr_prim,7.3999999999999995
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,mwr_prim,5.266666666666667
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,mwr_prim,6.355555555555556
A2QY653X9531JP,ns,20-1,20.0,1000.0,mwr_prim,7.055555555555556
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,mwr_prim,5.583333333333333
A39R5EBK7W916X,ns,20-1,20.0,1000.0,mwr_prim,7.5
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,mwr_prim,6.132142857142858
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,mwr_prim,7.9750000000000005
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,mwr_prim,3.4285714285714284
A50UY1556VDIA,ns,20-1,20.0,1000.0,mwr_prim,4.236607142857142
AJD90361AJO80,ns,20-1,20.0,1000.0,mwr_prim,5.75
AK52RXEJKR81A,ns,20-1,20.0,1000.0,mwr_prim,7.8952380952380965
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,mwr_prim,6.9563492063492065
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,mwr_prim,6.803571428571429
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,mwr_prim,5.625
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,mwr_prim,8.5
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,mwr_prim,5.630952380952381
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,mwr_prim,10.2995670995671
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,mwr_prim,10.495833333333334
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,mwr_prim,9.857142857142858
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,mwr_prim,4.839285714285714
A1WM3INNDW2776,ns,15-2,15.0,2000.0,mwr_prim,5.638888888888889
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,mwr_prim,6.583333333333333
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,mwr_prim,7.280952380952381
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,mwr_prim,7.625
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,mwr_prim,6.145833333333333
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,mwr_prim,8.477777777777778
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,mwr_prim,7.4375
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,mwr_prim,8.25
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,mwr_prim,5.56547619047619
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,mwr_prim,8.833333333333334
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,mwr_prim,4.6875
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,mwr_prim,9.007575757575758
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,mwr_prim,3.5
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,mwr_prim,6.0625
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,mwr_prim,7.375
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,mwr_prim,5.0
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,mwr_prim,8.875
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,mwr_prim,4.1
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,mwr_prim,6.914285714285715
AESZJEZTZEW01,ns,15-2,15.0,2000.0,mwr_prim,5.222222222222222
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,mwr_prim,3.779761904761905
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,mwr_prim,6.112193362193362
AW2UVK63OLFW,ns,15-2,15.0,2000.0,mwr_prim,9.125
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,mwr_prim,17.291666666666664
A1AS1H21O9896X,ns,30-1,30.0,1000.0,mwr_prim,7.333333333333333
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,mwr_prim,7.0
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,mwr_prim,6.825396825396825
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,mwr_prim,8.0
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,mwr_prim,8.333333333333334
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,mwr_prim,7.6855158730158735
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,mwr_prim,7.611111111111112
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,mwr_prim,9.166666666666666
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,mwr_prim,7.729166666666666
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,mwr_prim,12.410714285714285
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,mwr_prim,8.666666666666666
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,mwr_prim,11.5
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,mwr_prim,19.778138528138527
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,mwr_prim,9.375
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,mwr_prim,5.041666666666667
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,mwr_prim,8.777777777777779
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,mwr_prim,6.016666666666667
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,mwr_prim,6.834821428571429
AIDU49N2KO05N,ns,30-1,30.0,1000.0,mwr_prim,14.5
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,mwr_prim,6.158333333333333
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,mwr_prim,6.5
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,mwr_prim,13.013392857142858
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,mwr_prim,10.815476190476192
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,mwr_prim,4.533333333333333
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,mwr_prim,5.583333333333333
A248QG4DPULP46,ns,20-2,20.0,2000.0,mwr_prim,5.625
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,mwr_prim,5.523809523809524
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,mwr_prim,11.45925925925926
A35S8HPY0V445,ns,20-2,20.0,2000.0,mwr_prim,7.614583333333334
A37GOI3N77WX21,ns,20-2,20.0,2000.0,mwr_prim,11.666666666666668
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,mwr_prim,7.5476190476190474
A3HYH6OVZQ5MIY,ns,20-2,20.0,2000.0,mwr_prim,8.479166666666668
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,mwr_prim,5.914285714285714
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,mwr_prim,5.166666666666666
A3LXARU55PR281,ns,20-2,20.0,2000.0,mwr_prim,10.207407407407407
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,mwr_prim,8.125
A4HWADFPGP45G,ns,20-2,20.0,2000.0,mwr_prim,8.928571428571429
AHZCC2V399WUN,ns,20-2,20.0,2000.0,mwr_prim,6.104166666666667
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,mwr_prim,9.6875
A102WSFN62OS6I,ns,40-1,40.0,1000.0,mwr_prim,15.4
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,mwr_prim,6.866666666666666
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,mwr_prim,10.777777777777779
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,mwr_prim,12.833333333333334
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,mwr_prim,10.202380952380953
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,mwr_prim,9.291666666666666
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,mwr_prim,11.395833333333334
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,mwr_prim,9.75
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,mwr_prim,12.78125
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,mwr_prim,11.361111111111112
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,mwr_prim,11.833333333333332
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,mwr_prim,15.875
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,mwr_prim,12.333333333333334
AAVFHZA708CSP,ns,40-1,40.0,1000.0,mwr_prim,17.2010582010582
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,mwr_prim,9.025
AFLRBB974KS6D,ns,40-1,40.0,1000.0,mwr_prim,19.821428571428573
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,mwr_prim,8.216666666666667
ANCTZADQC3D75,ns,40-1,40.0,1000.0,mwr_prim,15.366666666666665
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,mwr_prim,11.380952380952381
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,mwr_rec,5.3125
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,mwr_rec,6.125
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,mwr_rec,7.65
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,mwr_rec,3.2857142857142856
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,mwr_rec,5.196428571428571
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,mwr_rec,5.71875
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,mwr_rec,7.0
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,mwr_rec,5.785714285714286
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,mwr_rec,5.25
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,mwr_rec,7.125
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,mwr_rec,8.0125
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,mwr_rec,6.886111111111111
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,mwr_rec,5.71031746031746
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,mwr_rec,8.13125
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,mwr_rec,5.05
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,mwr_rec,4.972222222222222
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,mwr_rec,5.444444444444444
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,mwr_rec,7.063492063492063
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,mwr_rec,5.180555555555556
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,mwr_rec,3.4166666666666665
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,mwr_rec,5.253968253968254
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,mwr_rec,7.094642857142857
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,mwr_rec,9.191666666666666
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,mwr_rec,5.275
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,mwr_rec,7.321969696969696
A1OW27AZS122X2,ns,20-1,20.0,1000.0,mwr_rec,7.976190476190476
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,mwr_rec,8.583333333333332
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,mwr_rec,7.9875
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,mwr_rec,5.178571428571429
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,mwr_rec,5.5
A2QY653X9531JP,ns,20-1,20.0,1000.0,mwr_rec,7.078571428571429
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,mwr_rec,4.5
A39R5EBK7W916X,ns,20-1,20.0,1000.0,mwr_rec,6.5
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,mwr_rec,6.75
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,mwr_rec,10.333333333333334
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,mwr_rec,5.5
A50UY1556VDIA,ns,20-1,20.0,1000.0,mwr_rec,4.3999999999999995
AJD90361AJO80,ns,20-1,20.0,1000.0,mwr_rec,7.159226190476191
AK52RXEJKR81A,ns,20-1,20.0,1000.0,mwr_rec,8.166666666666666
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,mwr_rec,8.833333333333332
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,mwr_rec,6.642857142857142
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,mwr_rec,5.717261904761904
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,mwr_rec,9.222222222222221
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,mwr_rec,5.188888888888889
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,mwr_rec,9.420634920634923
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,mwr_rec,10.644841269841269
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,mwr_rec,8.258333333333333
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,mwr_rec,6.35
A1WM3INNDW2776,ns,15-2,15.0,2000.0,mwr_rec,5.863636363636363
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,mwr_rec,4.75
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,mwr_rec,6.055555555555556
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,mwr_rec,6.821428571428571
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,mwr_rec,5.46875
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,mwr_rec,7.8989898989899
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,mwr_rec,6.721717171717172
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,mwr_rec,8.267857142857142
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,mwr_rec,4.238095238095238
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,mwr_rec,8.685185185185185
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,mwr_rec,5.445833333333333
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,mwr_rec,9.75
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,mwr_rec,3.7
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,mwr_rec,7.85
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,mwr_rec,5.770833333333333
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,mwr_rec,4.9
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,mwr_rec,8.683333333333334
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,mwr_rec,4.035714285714286
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,mwr_rec,6.75
AESZJEZTZEW01,ns,15-2,15.0,2000.0,mwr_rec,5.714285714285714
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,mwr_rec,4.25
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,mwr_rec,5.2272727272727275
AW2UVK63OLFW,ns,15-2,15.0,2000.0,mwr_rec,9.1625
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,mwr_rec,16.208333333333332
A1AS1H21O9896X,ns,30-1,30.0,1000.0,mwr_rec,7.533333333333334
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,mwr_rec,9.333333333333334
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,mwr_rec,7.026190476190476
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,mwr_rec,9.770833333333334
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,mwr_rec,8.799999999999999
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,mwr_rec,10.166666666666668
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,mwr_rec,4.875
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,mwr_rec,9.833333333333334
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,mwr_rec,7.75
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,mwr_rec,13.208333333333332
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,mwr_rec,8.920634920634923
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,mwr_rec,12.5
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,mwr_rec,20.01851851851852
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,mwr_rec,9.666666666666666
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,mwr_rec,5.916666666666667
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,mwr_rec,9.979166666666668
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,mwr_rec,6.011904761904762
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,mwr_rec,6.533333333333334
AIDU49N2KO05N,ns,30-1,30.0,1000.0,mwr_rec,18.166666666666668
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,mwr_rec,6.225
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,mwr_rec,8.333333333333334
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,mwr_rec,11.946428571428571
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,mwr_rec,10.555555555555555
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,mwr_rec,3.75
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,mwr_rec,6.25
A248QG4DPULP46,ns,20-2,20.0,2000.0,mwr_rec,5.908333333333333
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,mwr_rec,5.5
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,mwr_rec,11.1
A35S8HPY0V445,ns,20-2,20.0,2000.0,mwr_rec,7.365079365079365
A37GOI3N77WX21,ns,20-2,20.0,2000.0,mwr_rec,11.380357142857143
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,mwr_rec,8.166666666666666
A3HYH6OVZQ5MIY,ns,20-2,20.0,2000.0,mwr_rec,7.428571428571429
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,mwr_rec,6.166666666666667
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,mwr_rec,4.916666666666667
A3LXARU55PR281,ns,20-2,20.0,2000.0,mwr_rec,6.416666666666666
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,mwr_rec,5.142857142857143
A4HWADFPGP45G,ns,20-2,20.0,2000.0,mwr_rec,7.022727272727273
AHZCC2V399WUN,ns,20-2,20.0,2000.0,mwr_rec,6.25
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,mwr_rec,10.04702380952381
A102WSFN62OS6I,ns,40-1,40.0,1000.0,mwr_rec,14.277777777777777
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,mwr_rec,7.0
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,mwr_rec,12.819444444444445
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,mwr_rec,14.333333333333332
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,mwr_rec,12.475
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,mwr_rec,9.0
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,mwr_rec,11.416666666666666
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,mwr_rec,11.958333333333332
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,mwr_rec,14.5625
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,mwr_rec,11.83125
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,mwr_rec,11.55
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,mwr_rec,17.305555555555554
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,mwr_rec,11.74761904761905
AAVFHZA708CSP,ns,40-1,40.0,1000.0,mwr_rec,16.833333333333336
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,mwr_rec,7.666666666666666
AFLRBB974KS6D,ns,40-1,40.0,1000.0,mwr_rec,10.125
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,mwr_rec,10.597222222222221
ANCTZADQC3D75,ns,40-1,40.0,1000.0,mwr_rec,18.375
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,mwr_rec,15.729166666666666
