subject,strategy,condition,l_length,pres_rate,prop_wrong
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,0.020833333333333332
AW2UVK63OLFW,ns,15-2,15.0,2000.0,0.16666666666666666
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,0.041666666666666664
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,0.22916666666666669
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,0.32386363636363635
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,0.3125
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,0.041666666666666664
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,0.06628787878787878
A16335MOISDG1F,rec,30-1,30.0,1000.0,0.0
A17FJLW818UEQU,rec,30-1,30.0,1000.0,0.027777777777777776
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,0.16666666666666666
A1AS1H21O9896X,ns,30-1,30.0,1000.0,0.25
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,0.375
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,0.14583333333333331
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,0.020833333333333332
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,0.0625
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,0.45833333333333337
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,0.0625
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,0.3333333333333333
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,0.020833333333333332
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,0.020833333333333332
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,0.041666666666666664
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,0.0
A1T2P6E67251U5,prim,30-1,30.0,1000.0,0.125
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,0.041666666666666664
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,0.0
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,0.08333333333333333
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,0.47916666666666663
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,0.10416666666666666
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,0.20833333333333331
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,0.10416666666666666
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,0.27840909090909094
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,0.05555555555555555
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,0.14583333333333331
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,0.1875
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,0.125
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,0.25
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,0.0
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,0.2916666666666667
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,0.14583333333333331
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,0.16666666666666666
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,0.05555555555555555
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,0.0
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,0.041666666666666664
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,0.20833333333333331
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,0.5
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,0.020833333333333332
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,0.20833333333333331
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,0.375
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,0.1893939393939394
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,0.041666666666666664
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,0.0
A30DHHAL100LZR,ns,30-1,30.0,1000.0,0.16666666666666666
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,0.1691919191919192
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,0.041666666666666664
A36IB78C6MVA3,prim,30-1,30.0,1000.0,0.375
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,0.3958333333333333
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,0.020833333333333332
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,0.1875
A3I97794CB5SUO,rec,30-1,30.0,1000.0,0.10416666666666666
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,0.020833333333333332
A3TX84QHD321M7,prim,30-1,30.0,1000.0,0.3541666666666667
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,0.10416666666666666
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,0.041666666666666664
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,0.20833333333333334
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,0.35795454545454547
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,0.20833333333333334
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,0.3958333333333333
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,0.08333333333333333
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,0.0
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,0.041666666666666664
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,0.0625
AIDU49N2KO05N,ns,30-1,30.0,1000.0,0.22916666666666666
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,0.3541666666666667
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,0.375
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,0.08333333333333333
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,0.041666666666666664
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,0.0
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,0.1875
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,0.16666666666666666
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,0.20833333333333331
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,0.08333333333333333
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,0.20833333333333331
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,0.10416666666666666
A166P9BSWIFF32,prim,20-2,20.0,2000.0,0.20833333333333331
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,0.25
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,0.0625
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,0.125
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,0.2916666666666667
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,0.16666666666666666
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,0.1875
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,0.39583333333333337
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,0.25
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,0.0
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,0.027777777777777776
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,0.4166666666666667
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,0.0625
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,0.0
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,0.25
A1TPGXT718D68E,rec,20-2,20.0,2000.0,0.041666666666666664
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,0.4375
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,0.1875
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,0.2708333333333333
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,0.0
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,0.2916666666666667
A248QG4DPULP46,ns,20-2,20.0,2000.0,0.041666666666666664
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,0.3125
A25VK411P03A5T,rec,20-2,20.0,2000.0,0.20833333333333331
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,0.041666666666666664
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,0.5208333333333333
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,0.47916666666666663
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,0.1875
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,0.08333333333333333
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,0.5416666666666666
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,0.3541666666666667
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,0.08333333333333333
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,0.0625
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,0.020833333333333332
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,0.375
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,0.5555555555555556
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,0.3888888888888889
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,0.08333333333333333
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,0.375
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,0.027777777777777776
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,0.08333333333333333
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,0.25
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,0.3125
A304UJAE051J89,rec,20-2,20.0,2000.0,0.020833333333333332
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,0.027777777777777776
A35S8HPY0V445,ns,20-2,20.0,2000.0,0.25
A37GOI3N77WX21,ns,20-2,20.0,2000.0,0.0
A389UA2GRCJ6,prim,20-2,20.0,2000.0,0.29166666666666663
A3A7XOKH39SYOI,prim,20-2,20.0,2000.0,0.3541666666666667
A3B0CMCBWAND7,rec,20-2,20.0,2000.0,0.0625
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,0.27840909090909094
A3CKVVGWBS4NGU,prim,20-2,20.0,2000.0,0.32196969696969696
A3GDVKIN7ZGUG9,rec,20-2,20.0,2000.0,0.33333333333333337
A3HE29W5IDR394,rec,20-2,20.0,2000.0,0.08333333333333333
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,0.13888888888888887
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,0.041666666666666664
A3LVLZS8S41ZD7,rec,20-2,20.0,2000.0,0.020833333333333332
A3LXARU55PR281,ns,20-2,20.0,2000.0,0.25
A3TR3KIRG5PCZ8,prim,20-2,20.0,2000.0,0.08333333333333333
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,0.29166666666666663
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,0.0625
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,0.16666666666666666
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,0.5833333333333334
A4HWADFPGP45G,ns,20-2,20.0,2000.0,0.27083333333333337
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,0.0
AHZCC2V399WUN,ns,20-2,20.0,2000.0,0.08333333333333333
AJABAPM32ETMN,rec,20-2,20.0,2000.0,0.05555555555555555
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,0.375
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,0.14583333333333331
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,0.0
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,0.0
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,0.12499999999999999
A102WSFN62OS6I,ns,40-1,40.0,1000.0,0.1111111111111111
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,0.041666666666666664
A178HXQENEAI65,rec,40-1,40.0,1000.0,0.1875
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,0.14583333333333331
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,0.3541666666666667
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,0.020833333333333332
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,0.020833333333333332
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,0.29166666666666663
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,0.14646464646464644
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,0.1893939393939394
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,0.125
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,0.5
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,0.3958333333333333
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,0.3055555555555555
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,0.08333333333333333
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,0.3333333333333333
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,0.16666666666666666
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,0.08333333333333333
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,0.0625
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,0.26136363636363635
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,0.3333333333333333
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,0.0625
A271830PNYAI2G,rec,40-1,40.0,1000.0,0.05555555555555555
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,0.13068181818181818
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,0.0625
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,0.027777777777777776
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,0.041666666666666664
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,0.125
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,0.08333333333333333
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,0.0
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,0.08333333333333333
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,0.041666666666666664
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,0.06249999999999999
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,0.3055555555555555
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,0.08333333333333333
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,0.0
A2WCPERU8X385N,prim,40-1,40.0,1000.0,0.22916666666666666
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,0.375
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,0.05555555555555555
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,0.08333333333333333
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,0.375
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,0.3125
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,0.29545454545454547
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,0.39583333333333337
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,0.125
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,0.20833333333333331
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,0.06249999999999999
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,0.041666666666666664
A47VA451RDBV3,prim,40-1,40.0,1000.0,0.17234848484848483
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,0.13888888888888887
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,0.0625
AAVFHZA708CSP,ns,40-1,40.0,1000.0,0.2708333333333333
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,0.20833333333333331
AFLRBB974KS6D,ns,40-1,40.0,1000.0,0.1875
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,0.20833333333333331
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,0.14583333333333331
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,0.10416666666666666
AKJN72HW14WTR,rec,40-1,40.0,1000.0,0.08333333333333333
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,0.0625
ANCTZADQC3D75,ns,40-1,40.0,1000.0,0.3333333333333333
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,0.25
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,0.08333333333333333
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,0.08333333333333333
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,0.0
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,0.13888888888888887
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,0.2140151515151515
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,0.020833333333333332
ATRRW34VN38IX,rec,40-1,40.0,1000.0,0.125
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,0.16666666666666666
AW0MG225VXWCN,rec,40-1,40.0,1000.0,0.0
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,0.4375
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,0.23484848484848486
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,0.20833333333333331
