subject,condition,l_length,pres_rate,r1_sp,r1_decile,r1_sp_slope,r1_dec_slope
A10HW8JXM17XLD,10-2,10.0,2000.0,9.1875,9.1875,0.7583333333333335,0.7583333333333335
A12K1ADYMRSWMJ,10-2,10.0,2000.0,1.6375,1.6375,-0.5149999999999999,-0.5149999999999999
A14E4ISXVJVY6F,10-2,10.0,2000.0,1.0,1.0,0.0,0.0
A169XTOCOMO1MV,10-2,10.0,2000.0,4.74375,4.74375,-0.1424999999999999,-0.1424999999999999
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,5.657142857142857,5.657142857142857,1.14,1.14
A1969Q0R4Y0E3J,10-2,10.0,2000.0,8.073484848484847,8.073484848484847,-0.4172727272727273,-0.4172727272727273
A1AKL5YH9NLD2V,10-2,10.0,2000.0,5.770833333333333,5.770833333333333,-0.575,-0.575
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,3.6237373737373737,3.6237373737373737,-0.04141414141414135,-0.04141414141414135
A1F0R1MSPTXHHV,10-2,10.0,2000.0,4.485615079365079,4.485615079365079,-1.5478174603174604,-1.5478174603174604
A1GRPIBHW72HDU,10-2,10.0,2000.0,9.505681818181817,9.505681818181817,-0.03560606060606073,-0.03560606060606073
A1I9RLJQ0BYN21,10-2,10.0,2000.0,3.253787878787879,3.253787878787879,1.6742424242424243,1.6742424242424243
A1NG504QI5LI62,10-2,10.0,2000.0,1.0,1.0,0.0,0.0
A1NQ2A0UDW719R,10-2,10.0,2000.0,1.5499999999999998,1.5499999999999998,0.1342857142857143,0.1342857142857143
A1P00XZZG7EEEM,10-2,10.0,2000.0,2.2222222222222223,2.2222222222222223,-1.777777777777778,-1.777777777777778
A1RFDB2WUV7QRO,10-2,10.0,2000.0,5.25,5.25,2.333333333333334,2.333333333333334
A1V2H0UF94ATWY,10-2,10.0,2000.0,7.757575757575758,7.757575757575758,-0.46969696969696983,-0.46969696969696983
A1W7T8V97ZPUH0,10-2,10.0,2000.0,3.3541666666666665,3.3541666666666665,-0.19999999999999996,-0.19999999999999996
A1WJIRT360P5VB,10-2,10.0,2000.0,9.458333333333332,9.458333333333332,0.08333333333333356,0.08333333333333356
A1WPGNK8Y65BV3,10-2,10.0,2000.0,6.784090909090909,6.784090909090909,0.0242424242424244,0.0242424242424244
A1XMGLCK09Z0DW,10-2,10.0,2000.0,4.319805194805195,4.319805194805195,0.34935064935064936,0.34935064935064936
A1YA2FCN3KEK36,10-2,10.0,2000.0,1.2125,1.2125,-0.01499999999999999,-0.01499999999999999
A20GD3EBBTBYY2,10-2,10.0,2000.0,7.847222222222222,7.847222222222222,1.6744444444444444,1.6744444444444444
A24BRTWG07T53Z,10-2,10.0,2000.0,1.831439393939394,1.831439393939394,-0.08560606060606062,-0.08560606060606062
A27QXQ22F9ODSP,10-2,10.0,2000.0,2.1513888888888886,2.1513888888888886,-0.8538888888888888,-0.8538888888888888
A27T2Z568L69U1,10-2,10.0,2000.0,1.628472222222222,1.628472222222222,-0.14027777777777778,-0.14027777777777778
A282UM3NAIM0YO,10-2,10.0,2000.0,6.863194444444445,6.863194444444445,1.6130555555555557,1.6130555555555557
A2BREH6STESM0G,10-2,10.0,2000.0,7.28125,7.28125,1.6958333333333335,1.6958333333333335
A2FLBMZ38IZ2SQ,10-2,10.0,2000.0,1.4593434343434344,1.4593434343434344,-0.4584848484848485,-0.4584848484848485
A2FM1N5AOMVTGL,10-2,10.0,2000.0,3.753787878787879,3.753787878787879,2.168181818181818,2.168181818181818
A2FYFCD16Z3PCC,10-2,10.0,2000.0,8.513257575757576,8.513257575757576,-0.11742424242424229,-0.11742424242424229
A2H8PEGI28NKZD,10-2,10.0,2000.0,4.446969696969697,4.446969696969697,-0.12121212121212124,-0.12121212121212124
A2I6ZALE49CVSC,10-2,10.0,2000.0,2.479166666666667,2.479166666666667,-1.0416666666666667,-1.0416666666666667
A2KPEUCEE2M05G,10-2,10.0,2000.0,1.875,1.875,-1.75,-1.75
A2LJ1FRUYGW469,10-2,10.0,2000.0,6.181818181818182,6.181818181818182,-1.8872727272727274,-1.8872727272727274
A2M183CETUMR96,10-2,10.0,2000.0,8.66098484848485,8.66098484848485,0.1856060606060609,0.1856060606060609
A2MUOD1JHWJ735,10-2,10.0,2000.0,6.583333333333333,6.583333333333333,-0.3999999999999999,-0.3999999999999999
A2NXMRPHG86N2T,10-2,10.0,2000.0,6.208333333333334,6.208333333333334,0.9833333333333332,0.9833333333333332
A2PQDK3MLDFXYM,10-2,10.0,2000.0,9.620833333333334,9.620833333333334,-0.004999999999999716,-0.004999999999999716
A2QRJKXTK4JDD8,10-2,10.0,2000.0,6.18125,6.18125,-2.1025,-2.1025
A2R970Q1Q2A6DJ,10-2,10.0,2000.0,1.6666666666666667,1.6666666666666667,-0.4761904761904763,-0.4761904761904763
A2VIKZ73Y5ABHM,10-2,10.0,2000.0,5.988636363636363,5.988636363636363,0.44636363636363613,0.44636363636363613
A2WYZLG8J526TQ,10-2,10.0,2000.0,2.45,2.45,2.9,2.9
A33X52IN60MSOE,10-2,10.0,2000.0,8.458333333333334,8.458333333333334,1.7500000000000009,1.7500000000000009
A348NEQKS6VNIB,10-2,10.0,2000.0,8.441287878787879,8.441287878787879,-0.0901515151515154,-0.0901515151515154
A349BBTU7L597J,10-2,10.0,2000.0,4.025,4.025,0.845,0.845
A3C8JI69WPTKWH,10-2,10.0,2000.0,8.958333333333334,8.958333333333334,0.11666666666666661,0.11666666666666661
A3CE7DTHIB76UK,10-2,10.0,2000.0,4.245833333333334,4.245833333333334,1.5716666666666668,1.5716666666666668
A3G55RJTW3BSGM,10-2,10.0,2000.0,6.7897727272727275,6.7897727272727275,-0.7007575757575759,-0.7007575757575759
A3GC5Q5CLI4NWZ,10-2,10.0,2000.0,1.0505050505050506,1.0505050505050506,0.002020202020202033,0.002020202020202033
A3J55BJGV95JKH,10-2,10.0,2000.0,6.478409090909091,6.478409090909091,-1.6368181818181817,-1.6368181818181817
A3MJQ51KN9CMQ4,10-2,10.0,2000.0,2.7357954545454546,2.7357954545454546,-0.8829545454545455,-0.8829545454545455
A3MOL1L9V4BUGH,10-2,10.0,2000.0,6.1,6.1,0.5066666666666666,0.5066666666666666
A3NAONPCTVT6P1,10-2,10.0,2000.0,6.925,6.925,1.39,1.39
A3PJY7THMUIR4M,10-2,10.0,2000.0,6.303030303030302,6.303030303030302,2.7272727272727275,2.7272727272727275
A3VV3MW68CALXS,10-2,10.0,2000.0,1.0,1.0,0.0,0.0
A489K1IFOM4JW,10-2,10.0,2000.0,1.240530303030303,1.240530303030303,0.029545454545454562,0.029545454545454562
A49HPQ9P5AHU4,10-2,10.0,2000.0,7.791666666666667,7.791666666666667,-0.25,-0.25
A55MEA9LQASZH,10-2,10.0,2000.0,8.352083333333333,8.352083333333333,0.7408333333333331,0.7408333333333331
A5P12YJP805RG,10-2,10.0,2000.0,7.045454545454546,7.045454545454546,-0.043939393939393855,-0.043939393939393855
A5TWD5QD99GZY,10-2,10.0,2000.0,8.416666666666666,8.416666666666666,0.43333333333333346,0.43333333333333346
A63UHNWYOV5LE,10-2,10.0,2000.0,4.108225108225109,4.108225108225109,-0.2012987012987013,-0.2012987012987013
AEP8U373W5Q54,10-2,10.0,2000.0,1.0227272727272727,1.0227272727272727,0.027272727272727247,0.027272727272727247
AK2PMO5I7OCEK,10-2,10.0,2000.0,1.213888888888889,1.213888888888889,-0.12999999999999998,-0.12999999999999998
AKNU5D6QK7M72,10-2,10.0,2000.0,1.1602272727272727,1.1602272727272727,-0.03227272727272725,-0.03227272727272725
AO5FQ7GY8DTR8,10-2,10.0,2000.0,1.0,1.0,0.0,0.0
ARIWYNIH12MLF,10-2,10.0,2000.0,8.152777777777777,8.152777777777777,-0.5544444444444443,-0.5544444444444443
AS4FVWL91C6HR,10-2,10.0,2000.0,3.2507575757575755,3.2507575757575755,-1.9796969696969697,-1.9796969696969697
AWJKR5GA7BS7V,10-2,10.0,2000.0,5.208964646464646,5.208964646464646,-0.02146464646464663,-0.02146464646464663
AZ69TBTDH7AZS,10-2,10.0,2000.0,8.727272727272727,8.727272727272727,-0.05757575757575761,-0.05757575757575761
AZ8NNCT4AODDN,10-2,10.0,2000.0,2.830357142857143,2.830357142857143,-3.0892857142857144,-3.0892857142857144
A10JXOU89D5RXR,20-1,20.0,1000.0,15.643939393939393,7.821969696969696,0.8757575757575757,0.43787878787878787
A111FTKAAJ5UMC,20-1,20.0,1000.0,1.3068181818181817,0.6534090909090908,-0.035454545454545405,-0.017727272727272703
A11EZAV2HRYKD5,20-1,20.0,1000.0,1.5025252525252526,0.7512626262626263,-0.04949494949494946,-0.02474747474747473
A157L6Z8QU3SDE,20-1,20.0,1000.0,18.395833333333332,9.197916666666666,-0.7416666666666668,-0.3708333333333334
A16GIPTDMJAFTK,20-1,20.0,1000.0,11.459595959595958,5.729797979797979,2.0616161616161617,1.0308080808080808
A17R7WX5B0CKK6,20-1,20.0,1000.0,18.91736111111111,9.458680555555555,-0.4819444444444443,-0.24097222222222214
A17WB66BXX4R0J,20-1,20.0,1000.0,1.3719696969696968,0.6859848484848484,-0.12333333333333332,-0.06166666666666666
A19QRXLWV5GKXN,20-1,20.0,1000.0,16.019886363636363,8.009943181818182,-0.8162878787878786,-0.4081439393939393
A1CKIYN01NV9GJ,20-1,20.0,1000.0,13.041666666666668,6.520833333333334,-0.5833333333333339,-0.29166666666666696
A1HLDOM6JTYYI2,20-1,20.0,1000.0,3.5568181818181817,1.7784090909090908,-2.368181818181818,-1.184090909090909
A1HR8IRDC07FO9,20-1,20.0,1000.0,5.7519841269841265,2.8759920634920633,3.2147619047619047,1.6073809523809524
A1J6CZ176U6GDT,20-1,20.0,1000.0,19.379545454545454,9.689772727272727,-0.131818181818182,-0.065909090909091
A1J9VZ372FV2QZ,20-1,20.0,1000.0,16.07842712842713,8.039213564213565,2.5360173160173165,1.2680086580086583
A1JI19KPIVNL3Y,20-1,20.0,1000.0,10.5625,5.28125,-2.791666666666667,-1.3958333333333335
A1KH9VI2D0V43B,20-1,20.0,1000.0,1.231060606060606,0.615530303030303,-0.22272727272727275,-0.11136363636363637
A1LJ4WAEDGELVL,20-1,20.0,1000.0,19.704545454545453,9.852272727272727,0.40909090909091006,0.20454545454545503
A1OOCYEFLAJD98,20-1,20.0,1000.0,15.81818181818182,7.90909090909091,-0.09393939393939395,-0.046969696969696974
A1OW27AZS122X2,20-1,20.0,1000.0,14.29810606060606,7.14905303030303,0.3210606060606061,0.16053030303030305
A1R5JNC2LO6X1S,20-1,20.0,1000.0,1.7777777777777777,0.8888888888888888,0.9111111111111111,0.45555555555555555
A1SUTNVLSFPXFK,20-1,20.0,1000.0,10.636111111111113,5.318055555555556,7.247777777777779,3.6238888888888896
A1V91Z2CQKMR55,20-1,20.0,1000.0,18.333333333333336,9.166666666666668,0.07272727272727195,0.03636363636363597
A1YFL5HXPZ7MVV,20-1,20.0,1000.0,15.175,7.5875,2.1100000000000003,1.0550000000000002
A22UMPYYQBXT0F,20-1,20.0,1000.0,16.962121212121215,8.481060606060607,0.5212121212121218,0.2606060606060609
A26M997VYVK0E6,20-1,20.0,1000.0,2.465909090909091,1.2329545454545454,-0.21969696969696967,-0.10984848484848483
A277V4SHQB8JRS,20-1,20.0,1000.0,17.74810606060606,8.87405303030303,-0.11742424242424292,-0.05871212121212146
A2E5PV1BHNG67N,20-1,20.0,1000.0,10.157142857142857,5.078571428571428,-6.885714285714285,-3.4428571428571426
A2FQVRBXJZQAWT,20-1,20.0,1000.0,1.0555555555555556,0.5277777777777778,0.11111111111111116,0.05555555555555558
A2GM1ZIBRBHBK7,20-1,20.0,1000.0,6.0494949494949495,3.0247474747474747,0.5692929292929294,0.2846464646464647
A2ONILC0LZKG6Y,20-1,20.0,1000.0,19.145833333333332,9.572916666666666,-0.2583333333333332,-0.1291666666666666
A2QX1SJXQN1NV1,20-1,20.0,1000.0,5.1875,2.59375,-0.875,-0.4375
A2QY653X9531JP,20-1,20.0,1000.0,14.058333333333334,7.029166666666667,1.0299999999999998,0.5149999999999999
A2RBF3IIJP15IH,20-1,20.0,1000.0,16.649242424242424,8.324621212121212,0.6936363636363632,0.3468181818181816
A2RWLFIP23FZA7,20-1,20.0,1000.0,5.109090909090909,2.5545454545454547,2.636363636363636,1.318181818181818
A2SBZCFAVT83GN,20-1,20.0,1000.0,18.97979797979798,9.48989898989899,0.0,0.0
A2SQGKP2REXOTN,20-1,20.0,1000.0,1.764309764309764,0.882154882154882,-0.5454545454545454,-0.2727272727272727
A2SQTRNQWDLU4F,20-1,20.0,1000.0,4.7,2.35,-2.0,-1.0
A2SWQM5X54P1O5,20-1,20.0,1000.0,16.604166666666668,8.302083333333334,-0.5750000000000004,-0.2875000000000002
A2TG5ESEOPXAHI,20-1,20.0,1000.0,1.7467532467532467,0.8733766233766234,0.6181818181818182,0.3090909090909091
A2V6E7SGEU0EFD,20-1,20.0,1000.0,16.25,8.125,0.26666666666666644,0.13333333333333322
A2VXT33Y2TQPOQ,20-1,20.0,1000.0,2.009090909090909,1.0045454545454544,0.3054545454545455,0.15272727272727274
A2XDWB9NVYI3LQ,20-1,20.0,1000.0,17.39709595959596,8.69854797979798,-0.3356060606060606,-0.1678030303030303
A3026HLELYNW7U,20-1,20.0,1000.0,18.100757575757576,9.050378787878788,0.4663636363636364,0.2331818181818182
A351P2O6QGTCS,20-1,20.0,1000.0,19.593434343434343,9.796717171717171,-0.31818181818181834,-0.15909090909090917
A39R5EBK7W916X,20-1,20.0,1000.0,6.333333333333334,3.166666666666667,-2.333333333333333,-1.1666666666666665
A3D9PJ37U7LCHE,20-1,20.0,1000.0,7.024305555555555,3.5121527777777777,2.031944444444444,1.015972222222222
A3EVXSWHYA1PTT,20-1,20.0,1000.0,18.08143939393939,9.040719696969695,-0.14469696969696955,-0.07234848484848477
A3GIUDSA1IGTFV,20-1,20.0,1000.0,10.196296296296296,5.098148148148148,6.722222222222223,3.3611111111111116
A3HXK0UGS1YDMC,20-1,20.0,1000.0,3.696527777777778,1.848263888888889,1.0663888888888888,0.5331944444444444
A3ITZNJQUTIZ4C,20-1,20.0,1000.0,18.958333333333336,9.479166666666668,-0.08333333333333215,-0.041666666666666075
A3MHP4LZ3V88NF,20-1,20.0,1000.0,2.823232323232323,1.4116161616161615,-0.6525252525252524,-0.3262626262626262
A3NRIEMOJVVX4A,20-1,20.0,1000.0,17.935606060606062,8.967803030303031,1.7939393939393944,0.8969696969696972
A3PEV3KN6F7JRG,20-1,20.0,1000.0,8.222222222222221,4.111111111111111,-8.444444444444445,-4.222222222222222
A3QKOYP52HYRH2,20-1,20.0,1000.0,15.586011904761904,7.793005952380952,1.8667857142857138,0.9333928571428569
A3RFOODI4G4P4K,20-1,20.0,1000.0,19.294696969696968,9.647348484848484,0.13303030303030283,0.06651515151515142
A3RHJEMZ4EGY2U,20-1,20.0,1000.0,17.625,8.8125,1.0166666666666664,0.5083333333333332
A3S76P3L3USWI1,20-1,20.0,1000.0,2.591765873015873,1.2958829365079365,-0.08154761904761894,-0.04077380952380947
A3USPFFWN1G5PF,20-1,20.0,1000.0,17.737752525252525,8.868876262626262,0.2530808080808079,0.12654040404040395
A50UY1556VDIA,20-1,20.0,1000.0,9.192866161616163,4.596433080808081,4.68800505050505,2.344002525252525
A7R1OLLU1Z6RA,20-1,20.0,1000.0,18.418560606060606,9.209280303030303,0.21893939393939377,0.10946969696969688
AC7CDW53I98JT,20-1,20.0,1000.0,6.175595238095237,3.0877976190476186,-2.413095238095238,-1.206547619047619
AEJU0MCYOQC77,20-1,20.0,1000.0,3.8888888888888893,1.9444444444444446,1.6666666666666667,0.8333333333333334
AHU3EE2Q05E18,20-1,20.0,1000.0,2.1695526695526697,1.0847763347763348,-0.16623376623376626,-0.08311688311688313
AJD90361AJO80,20-1,20.0,1000.0,13.699494949494948,6.849747474747474,1.3024242424242423,0.6512121212121211
AK52RXEJKR81A,20-1,20.0,1000.0,10.121212121212123,5.060606060606061,1.5833333333333335,0.7916666666666667
AMJAZPJBO936R,20-1,20.0,1000.0,3.9787878787878785,1.9893939393939393,0.028181818181818086,0.014090909090909043
AOQZVAH5FSKGE,20-1,20.0,1000.0,2.2708333333333335,1.1354166666666667,-0.06666666666666665,-0.033333333333333326
AQCJI23U1VBYD,20-1,20.0,1000.0,1.9659090909090908,0.9829545454545454,-0.18409090909090906,-0.09204545454545453
AQPFTUIJ0PW2N,20-1,20.0,1000.0,3.1944444444444446,1.5972222222222223,-0.20833333333333326,-0.10416666666666663
AXFCUZ1WQC2WY,20-1,20.0,1000.0,7.592171717171717,3.7960858585858586,-6.221590909090909,-3.1107954545454546
AY7M9MOLNXIIK,20-1,20.0,1000.0,7.102272727272727,3.5511363636363633,-2.125757575757576,-1.062878787878788
AZZA3J049G7R5,20-1,20.0,1000.0,15.541666666666666,7.770833333333333,0.25,0.125
A102RSV009OCUW,15-2,15.0,2000.0,1.9526515151515151,1.301767676767677,-0.2522727272727273,-0.16818181818181827
A11BHGAKU0RIH8,15-2,15.0,2000.0,10.791666666666668,7.194444444444445,-3.583333333333334,-2.3888888888888884
A13GBA16BNTN1A,15-2,15.0,2000.0,14.75909090909091,9.83939393939394,0.012727272727272698,0.008484848484848406
A13THDIE8LTQ11,15-2,15.0,2000.0,10.281565656565656,6.854377104377104,-0.7843434343434346,-0.5228956228956227
A150QX2OXHGK8P,15-2,15.0,2000.0,11.338510101010101,7.559006734006734,1.5365151515151512,1.0243434343434337
A151XA53WYXVD7,15-2,15.0,2000.0,2.6875000000000004,1.7916666666666663,-0.7583333333333334,-0.5055555555555554
A1618RA11ZOD8Y,15-2,15.0,2000.0,11.718055555555555,7.812037037037038,2.5149999999999997,1.6766666666666665
A19X8IA9EKC3XH,15-2,15.0,2000.0,10.41098484848485,6.940656565656565,0.40227272727272734,0.2681818181818179
A1CFMY4CEYOM8Y,15-2,15.0,2000.0,12.138257575757576,8.092171717171716,-0.32803030303030256,-0.21868686868686843
A1E0K2VGY2684V,15-2,15.0,2000.0,6.565259740259741,4.376839826839827,2.1297402597402595,1.4198268398268399
A1NQOR4RQJJDMW,15-2,15.0,2000.0,7.770833333333332,5.180555555555555,-1.1750000000000003,-0.7833333333333338
A1PZIN8H1VI6SY,15-2,15.0,2000.0,1.5833333333333333,1.0555555555555554,0.8749999999999999,0.5833333333333333
